sim_time cohesion
50 0.61 
100 0.08 
150 -0.63 
200 0.7 
250 -0.58 
300 -0.73 
350 0.33 
400 0.4 
450 2.1 
500 1.77 
550 2.56 
600 2.77 
650 1.84 
700 2.39 
750 1.96 
800 4.26 
850 3.8 
900 7.23 
950 7.68 
1000 3.99 
1050 3.43 
1100 2.34 
1150 5.92 
1200 5.33 
1250 6.63 
1300 2.63 
1350 2.92 
1400 3.47 
1450 4.81 
1500 3.13 
1550 5.32 
1600 2.37 
1650 0.59 
1700 3.12 
1750 3.97 
1800 7.07 
1850 3.09 
1900 1.6 
1950 1.89 
2000 1.06 
2050 2.49 
2100 3.59 
2150 2.31 
2200 4.12 
2250 1.1 
2300 1.52 
2350 -0.38 
2400 0.11 
2450 -0.33 
2500 -0.25 
2550 -0.24 
2600 -0.46 
2650 -0.52 
2700 -0.74 
2750 1.31 
2800 2.88 
2850 2.28 
2900 0.76 
2950 5.51 
3000 3.96 
3050 3.57 
3100 2.11 
3150 -0.2 
3200 4.89 
3250 2.75 
3300 2.14 
3350 2.17 
3400 2.43 
3450 3.05 
3500 3.6 
3550 5.1 
3600 1.17 
3650 1.32 
3700 2.56 
3750 0.36 
3800 0.74 
3850 5.21 
3900 2.39 
3950 0.46 
4000 -0.05 
4050 2.45 
4100 1.6 
4150 0.43 
4200 0.57 
4250 -0.19 
4300 1.4 
4350 0.75 
4400 0.57 
4450 7.24 
4500 3.1 
4550 1.26 
4600 2.91 
4650 1.83 
4700 4.38 
4750 -0.58 
4800 -0.37 
4850 1.35 
4900 2.84 
4950 4.58 
5000 2.97 
5050 4.27 
5100 6.92 
5150 6.6 
5200 8.82 
5250 11.8 
5300 10.24 
5350 12.12 
5400 6.17 
5450 9.16 
5500 8.78 
5550 14.36 
5600 9.24 
5650 10.28 
5700 6.35 
5750 8.47 
5800 18.52 
5850 10.99 
5900 6.55 
5950 7.42 
6000 7.56 
6050 9.05 
6100 10.87 
6150 5.72 
6200 1.37 
6250 6.11 
6300 2.04 
6350 0.85 
6400 0.93 
6450 1.38 
6500 2.44 
6550 0.4 
6600 8.7 
6650 3.73 
6700 4.11 
6750 2.37 
6800 2.22 
6850 3.62 
6900 2.95 
6950 1.74 
7000 2.06 
7050 6.85 
7100 3.77 
7150 0.65 
7200 0.22 
7250 0.81 
7300 0.73 
7350 2.89 
7400 0.51 
7450 6.79 
7500 5.18 
7550 3.4 
7600 5.73 
7650 4.9 
7700 2.27 
7750 1.36 
7800 0.83 
7850 0.15 
7900 0.49 
7950 4.61 
8000 1.86 
8050 0.99 
8100 1.05 
8150 1.72 
8200 2.18 
8250 0.25 
8300 -0.48 
8350 -0.73 
8400 -0.56 
8450 -0.58 
8500 -0.57 
8550 0.29 
8600 2.28 
8650 0.18 
8700 -0.47 
8750 0.27 
8800 0.19 
8850 1.01 
8900 -0.78 
8950 1.03 
9000 -0.6 
9050 -0.67 
9100 0.66 
9150 0.56 
9200 -0.7 
9250 -0.35 
9300 -0.08 
9350 -0.39 
9400 -0.77 
9450 1.64 
9500 -0.36 
9550 1.36 
9600 0.67 
9650 0.19 
9700 0.52 
9750 -0.64 
9800 -0.64 
9850 -0.64 
9900 2.35 
9950 4.28 
10000 2.8 
10050 2.35 
10100 8.4 
10150 7.12 
10200 10.68 
10250 10 
10300 6.91 
10350 13.2 
10400 5.82 
10450 8.51 
10500 7.42 
10550 5.12 
10600 8.1 
10650 4.6 
10700 3.84 
10750 6.49 
10800 7.41 
10850 5.38 
10900 3.57 
10950 4.64 
11000 7.68 
11050 7.35 
11100 3.07 
11150 1.25 
11200 1.34 
11250 1.83 
11300 4.08 
11350 4.46 
11400 7.22 
11450 5.94 
11500 4.06 
11550 -0.5 
11600 1.03 
11650 0.11 
11700 2.54 
11750 1.07 
11800 1.04 
11850 1.94 
11900 1.8 
11950 0.72 
12000 -0.2 
12050 -0.6 
12100 -0.24 
12150 -0.24 
12200 -0.68 
12250 0.25 
12300 1.12 
12350 0.73 
12400 -0.2 
12450 1.97 
12500 -0.28 
12550 0.37 
12600 -0.26 
12650 0.18 
12700 -0.42 
12750 2.22 
12800 0.21 
12850 2.79 
12900 4.37 
12950 0.13 
13000 1.78 
13050 0.18 
13100 0.72 
13150 -0.06 
13200 -0.22 
13250 0.13 
13300 0.05 
13350 -0.22 
13400 0.42 
13450 2.26 
13500 2.88 
13550 3.96 
13600 1.92 
13650 2.12 
13700 4.72 
13750 1.67 
13800 1.72 
13850 5.67 
13900 2.28 
13950 6.75 
14000 3.39 
14050 6.78 
14100 5.6 
14150 9.7 
14200 8.6 
14250 12.75 
14300 6 
14350 7.17 
14400 6.96 
14450 7.16 
14500 10.45 
14550 9.79 
14600 6.82 
14650 4.43 
14700 8.18 
14750 4.48 
14800 10.13 
14850 8.29 
14900 9.24 
14950 12.18 
15000 19.29 
15050 9.66 
15100 15.07 
15150 10.2 
15200 16.73 
15250 6.53 
15300 8.22 
15350 13.99 
15400 10.42 
15450 7.25 
15500 11.92 
15550 14.81 
15600 16.23 
15650 12.23 
15700 10.19 
15750 12.79 
15800 8.93 
15850 10.78 
15900 11.14 
15950 12.02 
16000 8.82 
16050 16.06 
16100 15.73 
16150 16.14 
16200 15.18 
16250 17.5 
16300 12.86 
16350 16.9 
16400 13.82 
16450 9.51 
16500 8.08 
16550 3.92 
