sim_time cohesion
50 0.34 
100 -0.12 
150 0.81 
200 0.99 
250 0.72 
300 4.35 
350 0.39 
400 -0.12 
450 1.36 
500 0.2 
550 -0.05 
600 -0.32 
650 -0.61 
700 0.3 
750 0.84 
800 0.6 
850 1.91 
900 1.73 
950 1.16 
1000 1.24 
1050 2.34 
1100 1.47 
1150 3.62 
1200 3.45 
1250 2.76 
1300 6.5 
1350 7.19 
1400 5.29 
1450 6.78 
1500 8.58 
1550 9.86 
1600 12.81 
1650 12.76 
1700 14.88 
1750 14.08 
1800 9.86 
1850 18.92 
1900 16.95 
1950 18.87 
2000 22.52 
2050 21.99 
2100 16.79 
2150 24.97 
2200 15.84 
2250 28.49 
2300 31.31 
2350 22.28 
2400 28.25 
2450 28.7 
2500 23.39 
2550 26.44 
2600 28.14 
2650 30.1 
2700 28.02 
2750 34 
2800 34.84 
2850 25.97 
2900 35.73 
2950 36.8 
3000 33.67 
3050 38.21 
3100 32.85 
3150 35.07 
3200 46.59 
3250 37.56 
3300 42.37 
3350 45 
3400 40.72 
3450 47.6 
3500 40.78 
3550 48.28 
3600 40.34 
3650 44.2 
3700 42.77 
3750 41.02 
3800 46.8 
3850 46.8 
3900 44.63 
3950 45.87 
4000 33.92 
4050 44.17 
4100 50.53 
4150 52.45 
4200 50.38 
4250 50.88 
4300 59.23 
4350 55.41 
4400 55.6 
4450 52.16 
4500 48.65 
4550 53.38 
4600 46.84 
4650 54.54 
4700 55.72 
4750 47.2 
4800 50.77 
4850 50.85 
4900 53.26 
4950 56.76 
5000 42.13 
5050 50.65 
5100 49.97 
5150 51.72 
5200 52.3 
5250 48.69 
5300 49.82 
5350 56.6 
5400 58.24 
5450 58.06 
5500 53.71 
5550 59.74 
5600 58.01 
5650 62.12 
5700 56.08 
5750 49.87 
5800 56.92 
5850 64.65 
5900 62.2 
5950 59.74 
6000 59.93 
6050 61.58 
6100 64.32 
6150 64.32 
6200 61.14 
6250 66.11 
6300 66.43 
6350 68.85 
6400 61.82 
6450 64.06 
6500 60.44 
6550 51.96 
6600 61.92 
6650 65.67 
6700 68.74 
6750 66.92 
6800 64.61 
6850 59.08 
6900 61.87 
6950 61.76 
7000 60.56 
7050 65.25 
7100 74.2 
7150 73.06 
7200 65.5 
7250 70.01 
7300 64.35 
7350 68.12 
7400 71.92 
7450 67 
7500 63.45 
7550 64.9 
7600 63.79 
7650 72.2 
7700 65.53 
7750 64.55 
7800 68.36 
7850 66.59 
7900 65.71 
7950 65 
8000 65.71 
8050 66.15 
8100 72.84 
8150 72.44 
8200 67.77 
8250 72.81 
8300 70.2 
8350 68 
8400 65.53 
8450 66.53 
8500 62.34 
8550 66.59 
8600 70.24 
8650 65.32 
